Graph Size,Runtime (milliseconds)
1117,6468.046175
1118,6768.664058
1119,6540.571177
1120,6516.269826
1121,6567.499658
1122,6539.934914
1123,6537.132201
1124,6566.040326
1125,6595.269034
1126,6621.576196
1127,6648.213965
1128,6667.020164
1129,6614.97734
1130,6663.186105
1131,6635.065765
1132,6689.283719
1133,6717.080412
1134,6744.975581
1135,6805.084367
1136,6704.612461
1137,6781.630288
1138,6860.596442
1139,6754.259306
1140,6861.175014
1141,6850.001194
1142,6816.746666
1143,6933.705021
1144,6963.918404
1145,6957.491881
1146,6973.160931
1147,6999.045051
1148,7012.848865
1149,7089.273991
1150,7050.368194
1151,7065.137926
1152,7025.245948
1153,7081.658857
1154,7104.673735
1155,7087.266614
1156,7154.133636
1157,7119.405125
1158,7154.55528
1159,7189.193816
1160,7160.006862
1161,7185.380296
1162,7217.938277
1163,7219.853549
1164,7245.540192
1165,7291.102697
1166,7288.652594
1167,7257.521827
1168,7329.521759
1169,7357.81031
1170,7355.791137
1171,7329.24472
1172,7406.823978
1173,7326.707006
1174,7413.010976
1175,7420.973877
1176,7396.604712
1177,7422.046947
1178,7418.90168
1179,7439.099454
1180,7505.106288
1181,7515.584556
1182,7540.370793
1183,7616.090707
1184,7567.461977
1185,7571.221233
1186,7540.007665
1187,7590.37043
1188,7664.528649
1189,7560.558867
1190,7691.255123
1191,7681.207128
1192,7679.886658
1193,7700.628824
1194,7713.406246
1195,7694.328125
1196,7688.119171
1197,7744.1484
1198,7759.658163
1199,7794.763931
1200,7800.553611
1201,7870.522079
1202,7819.238893
1203,7883.05214
1204,7882.193441
1205,7903.803808
1206,7918.268836
1207,7956.227846
1208,7924.765649
1209,8001.06321
1210,8009.109491
1211,7955.937443
1212,7997.882032
1213,8014.644482
1214,8098.0783
1215,8098.908417
1216,8098.227049
1217,8110.586409
1218,8114.538962
1219,8090.938089
1220,8236.991911
1221,8157.762957
1222,8224.375894
1223,8185.197835
1224,8168.431306
1225,8225.95329
1226,8256.275855
1227,8264.713906
1228,8253.747732
1229,8243.209028
1230,8311.942945
1231,8355.587273
1232,8280.770495
1233,8341.497511
1234,8340.964288
1235,8387.850682
1236,8445.431888
1237,8401.352219
1238,8433.221686
1239,8458.031569
1240,8475.154791
1241,8428.175156
1242,8542.964665
1243,8501.782648
1244,8522.242134
1245,8532.959535
1246,8595.814471
1247,8583.59475
1248,8579.447542
1249,8672.255177
1250,8616.609895
1251,8672.336736
1252,8636.438817
1253,8777.540117
1254,8717.572439
1255,8730.126527
1256,8745.359764
1257,8821.419483
1258,8779.210651
1259,8810.961658
1260,8810.375579
1261,8836.29858
1262,8867.647774
1263,8897.130932
1264,8903.583824
1265,8925.197108
1266,8986.564744
1267,8909.900428
1268,9013.395444
1269,8994.697905
1270,9080.336913
1271,9023.680761
1272,9029.266773
1273,9066.506304
1274,9077.354274
1275,9087.118522
1276,9117.18275
1277,9217.959261
1278,9109.364234
1279,9171.165664
1280,9231.219849
1281,9225.439189
1282,9192.743803
1283,9213.51256
1284,9271.812874
1285,9313.079089
1286,9281.303745
1287,9294.65152
1288,9318.633096
1289,9296.450605
1290,9348.746046
1291,9346.751337
1292,9351.660383
1293,9384.468117
1294,9387.60398
1295,9400.067397
1296,9477.081762
1297,9514.579435
1298,9568.991625
1299,9563.99329
1300,9492.532051
1301,9581.032727
1302,9579.997389
1303,9602.47374
1304,9639.590085
1305,9665.536081
1306,9599.637697
1307,9706.039263
1308,9677.523709
1309,9728.359682
1310,9707.117852
1311,9780.414796
1312,9758.864674
1313,9806.768319
1314,9832.815849
1315,9912.712014
1316,9824.6917
1317,9899.656391
1318,9862.111712
1319,9955.439272
1320,9940.69646
1321,10086.383599
1322,10008.906914
1323,9981.386241
1324,10032.296522
1325,9988.123365
1326,10028.760979
1327,9975.196738
1328,10078.446597
1329,10134.803051
1330,10090.872362
1331,10150.97994
1332,10207.519723
1333,10175.378887
1334,10214.779054
1335,10145.442713
1336,10214.119784
1337,10229.969394
1338,10284.485665
1339,10262.315319
1340,10342.807828
1341,10348.138654
1342,10336.448299
1343,10363.999633
1344,10398.730417
1345,10400.957218
1346,10400.966543
1347,10445.42155
1348,10532.791459
1349,10535.040511
1350,10523.625704
1351,10584.480434
1352,10601.208717
1353,10584.457269
1354,10630.675658
1355,10871.017356
1356,10664.434556
1357,10724.778687
1358,10670.939646
1359,10687.547364
1360,10736.291327
1361,10688.863058
1362,10725.630537
1363,10751.799871
1364,10757.635891
1365,10886.865892
1366,10821.985614
1367,10900.756798
1368,10906.563207
1369,10997.104841
1370,10954.34594
1371,10984.244637
1372,10972.612238
1373,10997.709676
1374,10985.906559
1375,10996.787502
1376,10997.932193
1377,11051.948701
1378,11100.087501
1379,11145.724728
1380,11148.857416
1381,11138.259854
1382,11204.851928
1383,11259.39132
1384,11255.307327
1385,11285.773147
1386,11336.134522
1387,11319.666873
1388,11256.752234
1389,11342.793569
1390,11288.989093
1391,11364.228911
1392,11336.544844
1393,11386.147133
1394,11505.063347
1395,11438.85789
1396,11555.026256
1397,11718.380649
1398,11579.087761
1399,11593.522838
1400,11585.384687
1401,11584.45335
1402,11633.737146
1403,11740.624223
1404,11595.029469
1405,11725.40925
1406,11693.500016
1407,11780.419115
1408,11751.592825
1409,11796.859003
1410,11760.708674
1411,11919.87296
1412,11765.816109
1413,11827.46682
1414,11866.814538
1415,11933.852212
1416,11985.722065
1417,11876.175218
1418,11892.779313
1419,12001.002273
1420,11943.530536
1421,12012.446506
1422,11979.96768
1423,12058.739358
1424,12004.931779
1425,12069.617124
1426,12151.654851
1427,12137.500044
1428,12116.419718
1429,12122.252497
1430,12197.04711
1431,12188.208884
1432,12197.972583
1433,12157.919812
1434,12205.613237
1435,12367.016825
1436,12320.572449
1437,12357.765757
1438,12454.038051
1439,12443.909945
1440,12431.228714
1441,12521.456218
1442,12489.021386
1443,12461.89116
1444,12552.783111
1445,12581.291688
1446,12601.139548
1447,12591.878522
1448,12655.60314
1449,12601.508841
1450,12636.325965
1451,12639.624661
1452,12671.53185
1453,12691.50778
1454,12668.738712
1455,12688.416916
1456,12783.838566
1457,12771.355347
1458,12799.328528
1459,12873.489495
1460,12918.124581
1461,12913.186777
1462,12951.699973
1463,12902.754983
1464,12964.537819
1465,12979.093511
1466,12892.452002
1467,13074.300674
1468,13041.218939
1469,13178.387081
1470,13051.390375
1471,13074.028753
1472,13133.487535
1473,13146.637147
1474,13178.75324
1475,13157.744838
1476,13246.678026
1477,13248.508675
1478,13264.467393
1479,13286.321438
1480,13372.901244
1481,13359.1984
1482,13321.520466
1483,13513.886474
1484,13359.939183
1485,13439.597725
1486,13543.789398
1487,13663.700485
1488,13520.425806
1489,13526.951034
1490,13571.082888
1491,13507.060465
1492,13816.216583
1493,13530.877903
1494,13661.693386
1495,13712.861558
1496,13717.238167
1497,13706.554783
1498,13771.658488
1499,13826.74935
1500,13808.451907
1501,13933.905489
1502,13946.293317
1503,13919.212946
1504,13887.646932
1505,13963.259544
1506,13950.630279
1507,13998.480122
1508,13956.686229
1509,14056.518394
1510,14014.433583
1511,14129.3335
1512,14137.775687
1513,14154.610751
1514,14135.938561
1515,14198.257497
1516,14150.801089
1517,14386.132947
1518,14210.868652
1519,14393.297126
1520,14269.073125
1521,14332.150897
1522,14335.074915
1523,14346.350129
1524,14381.438097
1525,14374.784534
1526,14442.157072
1527,14461.541687
1528,14511.511126
1529,14504.442083
1530,14607.07854
1531,14534.919454
1532,14658.015495
1533,14609.59445
1534,14698.978042
1535,14695.89027
1536,14664.428957
1537,14745.746151
1538,14791.753642
1539,14806.831664
1540,14742.249091
1541,14813.647224
1542,14840.478867
1543,14861.223144
1544,14802.819571
1545,14909.580572
1546,14926.852273
1547,14946.999366
1548,14971.370861
1549,15181.298299
1550,15109.591716
1551,15170.259943
1552,15251.978126
1553,15272.467766
1554,15332.332856
1555,15290.067528
1556,15272.387202
1557,15375.496155
1558,15463.055905
1559,15354.799564
1560,15480.087342
